,F1_score,P-R_score,Matthews,Accuracy,Recall,Precision,SKF,AUC,Min_cutoff
TRAIN,0.8525,0.7614,0.4559,0.775,0.963,0.7647,0.55,0.6737891737891737,0.6097623705863953
TEST,0.6154,0.581,-0.0891,0.5,0.6667,0.5714,0.55,0.4583333333333333,0.739848792552948
