,F1_score,P-R_score,Matthews,Accuracy,Recall,Precision,SKF,AUC,Min_cutoff
TRAIN,0.8261,0.7587,0.5949,0.8,0.8636,0.7917,0.625,0.7929292929292929,0.5408845543861389
TEST,0.5455,0.5,0.0,0.5,0.6,0.5,0.625,0.5,0.6073448061943054
