,F1_score,P-R_score,Matthews,Accuracy,Recall,Precision,SKF,AUC,Min_cutoff
TRAIN,0.8936,0.8489,0.7433,0.875,0.913,0.875,0.55,0.8682864450127877,0.6088671088218689
TEST,0.8333,0.7944,0.5833,0.8,0.8333,0.8333,0.55,0.7916666666666666,0.6088671088218689
