,F1_score,P-R_score,Matthews,Accuracy,Recall,Precision,SKF,AUC,Min_cutoff
TRAIN,0.8261,0.7376,0.6075,0.8,0.9048,0.76,0.65,0.794486215538847,0.5065652132034302
TEST,0.875,0.8656,0.375,0.8,0.875,0.875,0.65,0.6875,0.504141092300415
