,F1_score,P-R_score,Matthews,Accuracy,Recall,Precision,SKF,AUC,Min_cutoff
TRAIN,0.898,0.8344,0.7475,0.875,0.9565,0.8462,0.525,0.8606,0.697
TEST,0.7143,0.7102,0.0476,0.6,0.7143,0.7143,0.525,0.5238,0.4324
