,F1_score,P-R_score,Matthews,Accuracy,Recall,Precision,SKF,AUC,Min_cutoff
TRAIN,0.9965,0.9949,0.9922,0.9962,0.9965,0.9965,0.9896,0.9961,0.4183
TEST,0.9899,0.9854,0.9778,0.989,0.9899,0.9899,0.9896,0.9889,0.4875
