,F1_score,P-R_score,Matthews,Accuracy,Recall,Precision,SKF,AUC,Min_cutoff
TRAIN,0.9966,0.9951,0.9925,0.9963,0.9966,0.9966,0.989575,0.9962686922383472,0.4251189581553141
TEST,0.9907,0.9864,0.9799,0.99,0.9907,0.9907,0.989575,0.9899484702295399,0.4971752826372782
