,F1_score,P-R_score,Matthews,Accuracy,Recall,Precision,SKF,AUC,Min_cutoff
TRAIN,0.997,0.9956,0.9933,0.9967,0.997,0.997,0.9895,0.9967,0.4114
TEST,0.9902,0.9858,0.9782,0.9892,0.9902,0.9902,0.9895,0.9891,0.4661
