,F1_score,P-R_score,Matthews,Accuracy,Recall,Precision,SKF,AUC,Min_cutoff
TRAIN,0.8837,0.8098,0.7586,0.875,0.95,0.8261,0.65,0.875,0.5
TEST,0.8,0.7429,0.2182,0.7,0.8571,0.75,0.65,0.5952380952380953,0.4501660168170929
